,address,sale_price,property_tax_2016,lot_size,square_feet,main_sqft,zillow_bedrooms,plumbing,year_built,type,neighborhood,zillow_finished_sqft,elementaryschool,segments,is_condo,roof,exteriormaterial,parkingtype,heatingsystem,coolingsystem,architecture,homedescription,on_zillow,sale_month_key
4786,2424 NE 48TH AVE,375000,5044.42,5000,1226,1226,3,1.0,1911,1 STY W/BSMT,ROSE CITY PARK,1226,,4,0,Composition,Wood,Garage - Detached,Forced air,,Bungalow,,1,29
4787,2438 NE 49TH AVE,545000,5916.29,5000,2028,1370,4,2.5,1910,1 STY W/ATTIC & BSMT,ROSE CITY PARK,3148,,5,0,Composition,Wood,,Forced air,Central,Bungalow,"Fantastic location in Rose City/Hollywood. This Craftsman is filled w/ beautiful details like: front porch, original unpainted wood work, hardwood floors, cozy fireplace, built-ins and sun-room. Great layout w/ master bedroom on second level and fenced back yard. New tear off roof 2015. Enjoy all the amenities this close-in location has to offer - farmers markets, library, everyday necessities shopping, parks and sought after schools!",1,25
4788,2443 NE 43RD AVE,650000,5456.54,5000,2546,1191,3,2.5,1913,1 STY W/ATTIC & BSMT,GRANT PARK,1816,beverly cleary,5,0,Composition,Wood,Garage - Attached,Forced air,None,Bungalow,"Charming craftsman on family friendly block walkable to the Hollywood neighborhood. Interior of home needs attention however has great potential. Corner lot, lovely front porch, private back yard, exterior of home has been improved & maintained.  Hardwood floors, fireplace, many original details intact. Oversized attached garage.",1,29
4789,2446 NE 50TH AVE,3500000,4033.86,5000,1066,1066,2,1.5,1910,1 STY W/ATTIC & BSMT,ROSE CITY PARK,1066,,5,0,,,,Forced air,,,"2446 NE 50th Ave, PortlandBungalow with refinished hardwood floors, fireplace, formal dining room. Updated kitchen and bathroom. New gas Furnace Bonus room on main floor with French doors. Email or call (971) 248-0736 - do not call other Dwell phone numbers for inquiries about homes for rent",1,22
4792,2454 NE 59TH AVE,370000,4823.25,5000,2175,1254,4,2.0,1923,1 STY W/ATTIC & BSMT,ROSE CITY PARK,3115,,7,0,,,,,,,,1,20
4793,25 NE 66TH AVE,610000,4601.63,5000,2044,856,3,2.0,1951,1 STY W/ATTIC & BSMT,NORTH TABOR,2000,glencoe,7,0,Shake / Shingle,Shingle,Garage - Detached,Forced air,Central,Bungalow,"Amazing Cape Cod in MT. Tabor neighborhood. Remodeled & updated with classic charm! NEW gourmet granite kitchen, dining room w/built in hutch, and elegant hardwoods throughout main level. Living area with fireplace and coved ceiling, Master suite with 150 sqft walk in closet. 2 HI eff.HVAC systems. Landscaped private backyard & patio. Finished basement with family room, bath, and bonus (or possible 4th bedroom).",1,28
4794,2520 NE 59TH AVE,599000,5037.09,5250,2364,1026,3,2.0,1932,1 STY W/ATTIC & BSMT,ROSE CITY PARK,2643,,7,0,,,Garage - Attached,Forced air,,,"Jet set PDX location convenient to airport, downtown, golf course! Enjoy all the perks of PDX just moments from home. Modernized kitchen and baths blend beautifully w quality vintage features! Hardwoods, leaded glass and built-ins create warm, inviting spaces. 4th bedroom/nursery adjacent to the master. Plenty of room for all. Sit on the deck from your master bedroom and look down at the fab large backyard. Location and style!",1,28
4795,2524 NE 63RD AVE,705000,3845.26,5000,2148,1044,5,1.5,1923,1 STY W/ATTIC & BSMT,ROSE CITY PARK,2300,,8,0,Composition,Other,Garage - Detached,Forced air,,Other,,1,21
4796,2526 NE 62ND AVE,615000,5087.08,5000,1656,798,3,1.0,1920,2 OR MORE STY W/BSMT,ROSE CITY PARK,2202,roseway heights,6,0,Composition,Composition,Garage - Attached,Forced air,Central,Colonial,"Extensively remodeled colonial with open concept. Tastefully redesigned kitchen, dining & family room. New soft-close kitchen cabbinets with quartz counters & eat-in bar that seats 5! Great new appliances. Enjoy the new master suite with walk-in closet & walkout balcony. Master bath has dual sinks/cabinets and luxury shower. New siding with moisture barrier and rain screen. Newer roof & newer gas furnace and water heater. Steps to the golf course and park.",1,30
4797,2527 NE 57TH AVE,625000,6893.13,7854,2978,1098,6,2.5,1917,2 OR MORE STY W/BSMT,ROSE CITY PARK,2984,,6,0,Composition,Wood,Garage - Detached,Forced air,,Craftsman,"Built in 1917,this Portland four square retains its grace and charm. Covered front porch with swing,sunlit rooms throughout, built-in buffet in Dining Room,Sunroom,Hardwood floors and crown moldings all add to this homes beauty.Nicely updated kitchen w/spacious eating area that opens through glass door to a backyard deck. House sits on an over-sized private lot w/arbor,raised beds and yard. 2 car carriage house possible ADU/office/shop.",1,20
4798,2533 NE 64TH AVE,325000,4033.86,5000,1472,1153,4,1.0,1922,1 STY W/ATTIC & BSMT,ROSE CITY PARK,1453,,6,0,,,,,,,,1,21
4799,2545 NE 43RD AVE,514500,6047.39,5000,2270,1460,4,2.0,1917,1 STY W/ATTIC & BSMT,GRANT PARK,3156,,7,0,Composition,Vinyl,,,,Bungalow,"Great bungalow in the heart of Hollywood! Completely live-able right now but could be fantastic with renovations. Gracious room proportions and wonderful floor plan. Enjoy original built-ins, tall ceilings & two full baths on the main level.  Upper level with two large bedrooms, gleaming fir floors &  finished attic-storage space. This property has tons of potential. Quiet street, close to transit & shops, very walkable/WalkScore of 84.",1,24
4800,2564 NE 45TH AVE,570000,4047.78,3380,1541,1161,3,1.0,1915,1 STY W/ATTIC & BSMT,GRANT PARK,2449,beverly cleary,5,0,Shake / Shingle,Shingle,Off-street,Forced air,None,Bungalow,"Stunning Craftsman Bungalow in Hollywood! Original Charm and detail are highlighted in this 1915 beauty. Unforgettable exposed natural woodworking and trim throughout. Features include: custom built-in cabinets, hardwood floors, natural lighting from all angles, classic breakfast nook, claw-foot tub, signature craftsman front porch. Fenced yard and unfinished basement.",1,26
4801,2601 NE 42ND AVE,665000,5505.14,5000,1881,1236,4,2.5,1925,1 STY W/ATTIC & BSMT,GRANT PARK,2596,beverly cleary,6,0,Composition,Wood,Garage - Detached,Forced air,Central,Bungalow,"OPEN SUN 12-2. Remodeled Bungalow in Hollywood/Grant Park. Perfect layout! Main floor features hardwoods, 2 bedrooms & full bath. Built-ins & wood fireplace. Upstairs with wood floors, 2 more beds & full bath. New interior/ext paint, fixtures. Kitchen w/new quartz counters, stainless steel gas appliances. A/C! Gas furnace new in 2016. Partially finished basement w/half bath, work room & outside entrance. Blocks to everything Hollywood!",1,31
4802,2614 NE 58TH AVE,455000,3757.78,5000,2345,1429,3,2.0,1910,1 STY W/ATTIC & BSMT,ROSE CITY PARK,3665,roseway heights,5,0,Composition,Wood,,Forced air,,Bungalow,Huge 1910 bungalow. Built-ins on main and some upstairs too. Two bedrooms on main and one giant bedroom upstairs. Rose City Park neighborhood. Conveniently close to nearly everything including busline.,1,28
4803,2643 NE 43RD AVE,623000,6128.97,5000,2512,1132,5,2.0,1925,1 STY W/ATTIC & BSMT,GRANT PARK,2754,beverly cleary,7,0,Composition,Metal,Garage - Detached,Forced air,Central,Bungalow,"Classic Hollywood Bungalow. Hardwood Floors,Built-ins in Dining and Living Room, Remodeled Baths, Hot Tub in Private back yard, Oversized 2 Car Garage. 5 bedrooms , 2 full Baths.",1,27
4804,2708 NE 59TH AVE,503000,5513.59,5000,2268,904,4,2.0,1925,2 OR MORE STY W/BSMT,ROSE CITY PARK,2488,roseway heights,7,0,Composition,Vinyl,Garage - Attached,Forced air,Central,Colonial,"The urban life outside your front door in one of Portland''s most desirable neighborhoods. Beautiful Dutch Colonial w/many updates. Newer water heater and partial plumbing re-pipe, newer furnace, dishwasher and refrigerator. The upper balconies have been refinished, the sewer line was replaced in 2012 and radon mitigation completed. Easy access to downtown Portland and PDX. Rose City Golf Course nearby.",1,27
4805,2725 NE 43RD AVE,647600,5222.18,5000,1521,1071,3,1.0,1924,1 STY W/ATTIC & BSMT,GRANT PARK,2397,,6,0,,,,,,,,1,29
4806,2726 NE 67TH AVE,402000,2464.1,5000,1150,1150,3,1.0,1923,1 STY W/ATTIC & BSMT,ROSEWAY,2402,,7,0,,Wood,Carport,Forced air,,Bungalow,"Fantastic Fixer opportunity! Great Craftsman Bungalow in popular Rose City location ready for your modern updates. Full front porch, hardwood and fir flooring, formal living room with fireplace and built-ins. Spacious kitchen with nook. 2 bedrooms on the main level, 3rd bedroom upstairs with a large bonus room. Updated electrical and plumbing. Fenced back yard. Estate !SOLD AS-IS.",1,21
4807,2734 NE 66TH AVE,439750,4257.38,5000,1752,962,4,1.0,1927,1 STY W/ATTIC & BSMT,ROSEWAY,1752,roseway heights,7,0,Metal,Other,,Forced air,None,Bungalow,"Classic Rose City Park Bungalow with original vintage, spacious front porch, hardwoods under carpet on main, upstairs exposed wood floor, light filled living & dining room, lifetime aluminum roof, large deck off kitchen nook, newer extra deep garage, lots of storage.",1,28
4808,2737 NE 48TH AVE,777500,7437.77,5000,2166,1330,3,2.5,1940,1 STY W/ATTIC & BSMT,ROSE CITY PARK,2642,alameda,6,0,Composition,Brick,Garage - Detached,Forced air,,Modern,"Absolutely stunning mid-century home built by renowned Portland architect Kenneth Birkemeier. Just off Alameda Ridge, this home is a rare find. Light and bright, this incredibly functional floorplan is light and airy. True gourmet kitchen opens to living spaces. Upper level master suite. Two large main floor bedrooms. Finished office/flex space in basement w/ 1/2 bath. Pristine backyard perfect for summer gatherings. Open Sat/Sun 1-3pm!",1,31
4809,2741 NE 53RD AVE,640000,6181.32,5000,3052,1584,4,3.0,1922,1 STY W/ATTIC & BSMT,ROSE CITY PARK,3627,,8,0,Composition,Wood,,Forced air,,Bungalow,BEAUTIFUL BROAD SHOULDERED BUNGALOW IN BEAUMONT/ROSE CITY WITH NEWLY REFINISHED WOOD FLOORS and INTERIOR PAINT! YOU WONT WANT TO MISS THIS ONE!,1,26
4810,2753 NE WIBERG LN,520000,4264.44,2700,1198,798,2,1.0,1922,1 STY W/ATTIC & BSMT,BEAUMONT-WILSHIRE,1840,,5,0,Composition,Wood,,Baseboard,,Other,,1,28
4811,2754 NE 60TH AVE,435000,3461.2,5000,1873,843,2,1.5,1910,2 OR MORE STY W/BSMT,ROSE CITY PARK,2390,,8,0,,,,Forced air,None,,"Gorgeous 1910 Craftsman in sought after Rose City Park. This spacious 2BR/1.1 BA home features an updated kitchen with concrete floors/counters, open floor plan on main, large bathroom up, hardwood floors, vintage touches, and lots of storage space! Bonus room in basement + tons of potential. Newer furnace and water heater. Private backyard w/ brick patio.",1,21
4812,2755 NE 51ST AVE,650000,6013.91,5000,2810,1234,4,2.0,1914,1 STY W/ATTIC & BSMT,ROSE CITY PARK,2838,,6,0,Composition,Brick,Garage - Attached,Forced air,None,Craftsman,"Wonderful home on quiet and pride-of-ownership street.  Owners have lovingly maintained this beautiful home over the years.  Inviting front porch leads you into the foyer with crystal light fixture that creates beautiful prisms on the walls and coat closet.  To your left is the formal living room with wood burning fireplace and built-in bookshelves on the sides.  High ceilings and hardwood flooring throughout most of the main level, long window seat along the wall in the formal dining room allow for great seating when entertaing.  The kitchen has beautiful wood cabinets that are double stacked to the ceiling, allowing for so much storage and a double oven with a stove in the middle.   The kitchen overlooks the back yard with newer wood deck with built-in bench seating, fresh sod, deck and fully fenced yard.  There are closets and built-in storage at ever turn.  Main level has two bedrooms and one bathroom.  The rear bedroom has French doors which lead out to the deck.  The front bedroom overlooks the side yard with a large window and has two wall sconces.  Upstairs features two large bedrooms - each with double walk-in closets, built-in drawers and luxury carpeting.  They share a loft/office area with fir floors and a generous bathroom with two closets and a claw foot tub.  Finished basement has acid stained flooring, recessed lighting, a sitting area and a laundry area.  Original solid wood doors and hardware.  Fresh exterior paint and newer composition roof.  Call Marjie for your tour today - this home is very special and has been filled with love!",1,26
4813,2755 NE 62ND AVE,480000,5768.0,5500,1518,798,3,2.0,1908,2 OR MORE STY W/BSMT,ROSE CITY PARK,3,,6,0,,,,,,,,0,22
4814,2773 NE 62ND AVE,480000,5768.0,5500,1518,798,3,2.0,1908,2 OR MORE STY W/BSMT,ROSE CITY PARK,3,,6,0,,,,,,,,0,22
4815,2803 NE 49TH AVE,830500,8693.52,5000,2705,1085,4,3.0,1925,1 STY W/ATTIC & BSMT,ROSE CITY PARK,2712,alameda,5,0,Other,Wood,Garage - Detached,Forced air,Central,Bungalow,"Restored bungalow sited perfectly on a tree-lined street in one of Portlands finest neighborhoods. This distinctive home merges vintage character w/modern living. Gourmet kitchen w/custom cabinets, granite, SS, mudroom & Dutch door; Separate master w/den, dressing room & bathroom; Well-appointed formal & informal living spaces. Outdoor areas w/mature landscaping & privacy for the best in outdoor living. Short stroll to Beaumont shops.",1,24
4816,2804 NE 42ND AVE,600000,6333.39,5000,2571,956,4,1.5,1925,1 STY W/ATTIC & BSMT,GRANT PARK,2384,beverly cleary,8,0,Composition,Wood,Off-street,Forced air,None,Other,"Beautifully updated English style home in Beaumont neighborhood. Walk to Grant Park, Grant High School, and local shops with a bike/walk score of 90. Grant HS rated 7/10 and Beverly Cleary Elem rated 10/10! Large kitchen with plenty of counter space and cabinetry. Bedroom on the main and three upstairs. Finished basement featuring an office, bar and work shop. This house is a must-see and a great buy!",1,22
4817,2805 NE 68TH AVE,505700,4762.86,5000,2223,1370,4,2.0,1926,1 STY W/ATTIC & BSMT,ROSEWAY,3644,,6,0,,,,,,Bungalow,"Charming bungalow sitting up on the Ridge with peek-a-boo view of Mt. Hood from dining room and porch. Hardwoods, fireplace, built-ins and large windows. Spacious kitchen with good access to Redwood deck. Expansive 2nd floor with 4th bedroom that is currently open to the hall but could be walled in or could be a perfect 2nd floor family room. High ceilings in basement with 2nd full bath and plenty of room to expand.",1,21
4818,2834 NE 64TH AVE,350000,3513.97,5000,872,680,1,1.0,1922,1 STY W/BSMT,ROSE CITY PARK,904,,6,0,Shake / Shingle,Wood,Garage - Detached,Forced air,,Other,"Cute as a button bungalow in Roseway Heights! Front sitting porch w/ swing. Charming, light-filled living & dining rooms. Tastefully updated kitchen w/ butcher block, subway tile, new appliances. Bedroom has french doors to private backyard w/ fruit trees. 2nd bedroom (non-conforming) in basement plus storage & laundry. Detached garage w/ XL storage up. Walking/cycling paradise just blocks to Alameda Ridge. Easy commute around town too!",1,25
4819,2835 NE 53RD AVE,710000,5037.56,5000,2021,1015,4,2.0,1912,1 STY W/ATTIC & BSMT,ROSE CITY PARK,2599,,10,0,,,,,,,,1,23
4821,2850 NE 70TH AVE,560000,7085.28,4875,2925,1131,3,2.5,1941,1 STY W/ATTIC & BSMT,ROSEWAY,3011,,6,0,Composition,Brick,Garage - Detached,Heat Pump,Central,Tudor,"This classic English with over 3000sqft abounds original charm and character.Features gleaming newly refinished hardwoods throughout the main floor,custom leaded glass windows,coved ceilings w/picture rail moldings and beautiful original millwork.Formal living room w/fireplace and great room attached!Spacious Master up w/walk in closet and bonus alcove.Finished basement with potential 4th bedroom.Walk to schools, golf course and parks.",1,21
4822,2853 NE 70TH AVE,776000,6883.47,8470,3031,1256,4,3.5,1932,1 STY W/ATTIC & BSMT,ROSEWAY,3082,,6,0,Composition,Wood,Garage - Detached,Forced air,Central,Tudor,"Gorgeous Tudor on oversized corner lot filled w/original charm plus modern updates! Open floor plan, hardwoods, leaded glass windows. Stunning new kitchen w/custom cabinets, quartz, Pratt & Larson tile, large eating area. 2nd living quarters in basement for guests/inlaw or rent out- ADU? Spectacular yard & garden w/native plants, blueberries, apples, pears & chickens! Fabulous location close to shops, restaurants & transportation.",1,28
4824,2906 NE 63RD AVE,325000,3554.34,4250,1302,902,3,1.0,1927,1 STY W/ATTIC & BSMT,ROSE CITY PARK,1302,,5,0,,,,,,,,1,23
4825,2915 NE 46TH AVE,635000,5898.41,5000,1961,961,3,1.5,1927,1 STY W/ATTIC & BSMT,BEAUMONT-WILSHIRE,2650,,7,0,Composition,Metal,Garage - Detached,Forced air,,Other,"Great house in fantastic neighborhood, full bath on each level. There is a bonus room on the upper level and lots of storage space. This Beaumont/Alameda location is close to everything. This property has a rare tandem detached garage-10' x 40'. Great schools. Full commission paid to buyer's agents.",1,28
4826,2916 NE 65TH AVE,655000,3651.17,5000,2646,1020,5,3.0,1926,1 STY W/ATTIC & BSMT,ROSEWAY,2545,,8,0,,,,,,Craftsman,"Stunning Roseway Renovation! 5 Beds, 3 Full Baths. Sought after 3 bedroom configuration upstairs, newly renovated kitchen w/ quartz counters, new appliances & schoolhouse lighting! 3 remodeled baths, a finished basement with family room, bedroom, full bath and exterior entrance! New roof, new windows, newer mechanicals, two broad shouldered porches on front and back, an expansive yard and updated garage round out this gorgeous home!",1,21
4827,2932 NE 44TH AVE,1115000,10836.71,5000,3295,1213,4,3.5,1922,2 OR MORE STY W/BSMT,BEAUMONT-WILSHIRE,3367,alameda,5,0,Composition,Wood,Garage - Detached,Forced air,Central,Colonial,,1,27
4828,2933 NE 50TH AVE,995000,9792.21,5000,3294,1409,4,2.5,1919,2 OR MORE STY W/BSMT,ROSE CITY PARK,3508,,8,0,,,,,,,"American Foursquare in popular Beaumont/Alameda location blocks to the shops and cafes on Fremont. Remodeled for todays modern lifestyle w/wide open floor plan, fantastic design and gourmet kitchen, Viking appliances,and rich finishes including white oak hardwood flooring, quartz counters,and large island. I see many fun dinner parties here ! 4 bdrms up w/luxurious master w/room sized closet! Pre-inspected and Home Warranty !",1,20
4829,2935 NE 45TH AVE,452500,4275.79,5000,1000,1000,3,1.0,1970,1 STY,BEAUMONT-WILSHIRE,1000,alameda,4,0,,Other,,,,,"Attention:For Comparable purposes only. Buyer rep. didn't take a commission of $11,312.50.",1,28
4830,2935 NE 49TH AVE,778000,4719.02,5000,1212,1212,3,1.0,1914,1 STY W/BSMT,ROSE CITY PARK,2424,beverly cleary,6,0,Composition,Wood,Garage - Detached,Forced air,Central,Craftsman,"Absolutely stunning renovation in the heart of Alameda District! Studs out rebuild: All new plumbing, electrical, mechanical, sewer, etc. Many of the original hardware and woodwork pieces restored! Unsurpassed quality and craftsmanship combined with just the right period detail show themselves in true form. Master on the Main! Walk to your favorite shops and restaurants! Unbelievable value! Hurry, won't last!",1,30
4831,2936 NE 65TH AVE,515000,4053.45,5000,1696,1396,4,1.0,1913,1 STY W/ATTIC & BSMT,ROSEWAY,2176,roseway heights,7,0,Composition,Vinyl,,Forced air,,Bungalow,"Fabulous neighborhood. Close to shopping and restaurants.  Original wood floors and built-ins throughout.  Must see mill work lovingly restored to original finish. Covered porch, fenced back yard, detached garage, new roof on house, New paint on house & garage this summer. Unfinished basement has potential!",1,26
4832,2938 NE 64TH AVE,527000,4940.92,5000,2247,1077,3,2.0,1913,1 STY W/BSMT,ROSE CITY PARK,2247,roseway heights,6,0,,Wood,,Forced air,,Bungalow,"CHARM GALORE! Fireplace, built-ins, stained glass, deck off kitchen, full front porch.  Flexible floor plan w/ bedroom + living space & bath on both levels! Lower level has bonus used as master/4th bdrm w/ dble closets & handcrafted barn door (room is non-conforming /lacks egress window).  The light & spacious lower level has 9 ft ceilings & outside entry !! Possible separate living area!  PRICE REDUCED TO $539,900!",1,31
4833,2945 NE 67TH AVE,600000,5555.32,5000,2280,948,3,2.0,1924,1 STY W/ATTIC & BSMT,ROSEWAY,2280,,6,0,Shake / Shingle,Wood,Garage - Detached,Forced air,Central,Craftsman,"Beautifully restored craftsman bungalo, with all new bathrooms, kitchen with large eating nook, oak hardwood floors on main level, with new tumbled marble fireplace, with gas log lighter: large upper level, with bedroom, loft area, and attic storage.  Main level bath is period tiled, with brushed nickle fixtures.  Nex kitchen features granite counters, indirect lighting, new stainless/black Fridgidare professional series appliances.; The lower level features a beautiful large family room, which could be a 4th bedroom. All new interior painting, and fixtures. Entire house CAT V cable/internet ready. Oversize garage, with large shope area, and opener.  Exterior siding was stripped and has fresh paint. New landscape/yard in front and back.  

Neighborhood Description

Nice family-friendly and crime free neighborhood, with lots of walker/joggers, with young families.  3 blocks from Rose City public golf course, 1= block off Alameda Drive.  10 minutes to Downtown Portland, with an easy drive!!",1,27
4834,2947 NE 65TH AVE,549900,4376.68,5000,1980,1050,3,2.0,1922,1 STY W/BSMT,ROSE CITY PARK,1980,roseway heights,6,0,Composition,Wood,,Forced air,,Other,"Fully permitted,renovated in heart of Rose City Park!64 Walk Score/85 Bike Score near cafes, pop schools & parks!Features inc: exposed beams, vaulted covered front porch, craftsman style finishes, detached garage, back patio w/fire pit, fenced & priv yard w/raised garden beds & territorial trees view! Amenities inc: new kitch w/SS appliances,new inter/exter paint, new millwork & doors, recessed lights, new plumbing, wd flrs,fp, & more!",1,24
4835,2954 NE 48TH AVE,740000,6169.51,5000,1931,1176,3,2.5,1926,1 STY W/ATTIC & BSMT,ROSE CITY PARK,2500,alameda,7,0,Composition,Wood,Garage - Detached,Forced air,Central,Cape Cod,"HERE SHE IS! Stunning remodeled Cape Cod with a highly sought after and hard to find MASTER SUITE ON THE MAIN FLOOR, coupled with a stunning open kitchen, open/bright formal spaces and two large bedrooms and a second full bathroom upstairs. A finished basement family room and an ideal location just two blocks from the heart of Beaumont Village make this a property you don't want to miss! Alameda Elementary/Grant High School!",1,26
4836,2955 NE 55TH AVE,500000,4586.76,5000,1854,1144,3,2.0,1923,1 STY W/BSMT,ROSE CITY PARK,1854,,7,0,Composition,Metal,Garage - Attached,Forced air,,Bungalow,"1923 Bungalow in popular Beaumont neighborhood. Blocks to all the great restaurants, boutiques and fun on Fremont. Formal living room and dining room features hardwood flooring, gorgeous built-in buffet,fireplace. Spacious kitchen with eating area, stainless steel appliances, slider to large deck and private fenced yard. Both bedrooms on the main level.Finished lower level with high ceilings and full bath.",1,25
4837,2956 NE 59TH AVE,750000,7680.63,5250,3404,1196,4,2.5,1913,2 OR MORE STY W/BSMT,ROSE CITY PARK,3404,roseway heights,7,0,Composition,Cement / Concrete,Garage - Detached,Forced air,Central,Craftsman,"Gorgeous newer construction Craftsman style home with modern livability. Coveted open concept kitchen/family room floor plan, large kitchen w/marble topped island & built in breakfast nook, open to family room w/fireplace. Separate living room, formal dining, office, all on main w/4 bedrooms & laundry room up.  Amazing landscaped and fenced backyard w/gas firepit. Great storage.  Easy walkable distance to Fremont shops.",1,31
4838,2957 NE 57TH AVE,514750,4651.62,5000,2228,1186,3,2.0,1915,1 STY W/BSMT,ROSE CITY PARK,2027,alameda,5,0,Composition,Metal,Garage - Detached,Forced air,Central,Craftsman,"Step into a warm and welcoming Portland classic in one of the area\'s most desired school districts. This Craftsman Bungalow is generously updated w/modern windows, hardwoods, appliances, and heated floors in the main bath.  The lower level is a great media/tv room, teen or in-law retreat. Outdoor living is a pleasure on the covered patio among a variety of beautiful flowering and fruit-bearing trees and plants. This is a true delight.",1,29
4839,3002 NE 65TH AVE,299599,2363.13,5000,644,644,1,1.0,1945,1 STY,ROSEWAY,644,,2,0,,,,,,,,1,31
4840,3006 NE 55TH AVE,525000,4291.33,5000,1450,1075,3,1.0,1922,1 STY W/ATTIC & BSMT,ROSE CITY PARK,1935,alameda,7,0,Composition,Vinyl,Garage - Detached,Forced air,None,Bungalow,"Gorg renovation, move-in ready  in desirable Beaumont-Wilshire/ Rose City neighborhd ! Wonderful schools! 60 Walk Score & 80 Bike Score near the pop Fremont Dist!  3 spac bdrms w/mstr on main, hi ceilings,bamboo flrs, beaut new kitch w/ new SS apps! Nice attention to detail, extensive tile work, craftsman style millwork & lots of big windows providing lots of natural lite! Enjoy all new: lighting & plumbing fixtures & more! Must see!",1,30
4841,3006 NE 64TH AVE,225000,3498.93,5000,868,868,2,1.0,1908,1 STY W/BSMT,ROSE CITY PARK,868,,5,0,,,,,,,,1,30
4842,3015 NE 67TH AVE,549000,4007.96,5000,1675,1035,4,2.0,1924,1 STY W/ATTIC & BSMT,ROSEWAY,2376,,5,0,Composition,Other,Garage - Detached,Forced air,,Bungalow,"Sweet bungalow on a great street.  Light fills this charming home that hasnt been on the market in over 85 years!  Bright, sunny flat back yard, perfect for gardening and entertaining.  Tons of opportunity to build some sweat equity.",1,24
4843,3016 NE 49TH AVE,350000,4388.03,5000,1275,885,4,1.0,1923,1 STY W/ATTIC & BSMT,ROSE CITY PARK,3010,,5,0,,,,,,,,1,23
4844,3016 NE 57TH AVE,447000,3907.94,5250,2431,1161,4,2.0,1927,1 STY W/ATTIC & BSMT,ROSE CITY PARK,1761,,6,0,,,,,,,,1,20
4845,3024 NE 50TH AVE,615000,5000.29,5000,1738,1230,3,1.0,1920,1 STY W/ATTIC & BSMT,ROSE CITY PARK,2414,alameda,5,0,Composition,Wood,Garage - Detached,Forced air,None,Other,,1,31
4846,"3024 NE 61ST AVE, UN A",535000,3848.33,5000,1319,1039,3,1.0,2017,1 STY W/ATTIC & BSMT,ROSE CITY PARK,3,,7,0,,,,,,,,0,20
4847,"3024 NE 61ST AVE, UN B",535000,3848.33,5000,1319,1039,3,1.0,2017,1 STY W/ATTIC & BSMT,ROSE CITY PARK,3,,7,0,,,,,,,,0,20
4848,3025 NE 47TH AVE,595000,6876.88,5000,3010,1217,3,1.0,1927,1 STY W/ATTIC & BSMT,BEAUMONT-WILSHIRE,1793,,5,0,Composition,Metal,Garage - Detached,Forced air,Central,Other,,1,24
4849,3032 NE 48TH AVE,1075000,10426.94,5000,3939,1315,5,5.0,2010,2 OR MORE STY W/BSMT,ROSE CITY PARK,3948,,8,0,Shake / Shingle,Wood,Garage - Detached,Forced air,Central,Craftsman,"Stunning craftsman built new in 2010. It boasts a thoughtful design and open floor plan. Beautiful kitchen, butlers pantry, shaker style cabinetry and adjoining family room. Honed quartz counters throughout. Great master suite, jacuzzi bath and walk-in shower. Second floor laundry and jack and jill bath. Detached guest suite with full bath. Nothing is missing! Seller accommodating.",1,23
4850,3035 NE 47TH AVE,582500,4618.58,5000,1266,876,3,1.0,1924,1 STY W/ATTIC & BSMT,BEAUMONT-WILSHIRE,2061,,8,0,,,,,,Bungalow,"This Sweet 1924 Craftsman Bungalow in coveted Alameda/Beaumont neighborhood has SO much to offer-Remodeled kitchen w/stnlss appl, quartz counter tops, apron front sink & walk-in pantry. Light filled welcoming living & dining rooms have hardwoods, buit-ins and new wood windows thru out! Spacious master, cute new bathroom. Quality updates such as blown in insulation thruout this jewel! Backyard deck & garden are designed for gathering!",1,24
4851,3036 NE 66TH AVE,449500,3744.8,5000,1155,815,3,1.0,1913,1 STY W/ATTIC & BSMT,ROSEWAY,1155,roseway heights,8,0,Composition,Other,Garage - Detached,Forced air,,Craftsman,"Beautiful restored Classic Bungalow with many updates, New Period kitchen, Fireplace, built-ins, Bathroom Tub, Sink, Rejuv. fixtures, Dipped woodwork. Rebuilt Porch & Deck, Newer roof, sewer, water & ac unit. Unfinished basement w/exterior entrance & high ceilings. Rare 2 car garage w/garden storage. Possible ADU in basement or garage? Much care to maintain its original character. Come see the front yard blooms This Sunday's open 12-3.",1,30
4852,"304 NE 45TH AVE, UN A",554900,4264.44,5188,1008,1008,3,1.0,1924,1 STY W/BSMT,NORTH TABOR,3,,6,0,,,,,,,,0,26
4853,"304 NE 45TH AVE, UN B",554900,4264.44,5188,1008,1008,3,1.0,1924,1 STY W/BSMT,NORTH TABOR,3,,6,0,,,,,,,,0,26
4854,3042 NE 45TH AVE,1225000,14589.28,5000,4020,1612,4,3.5,2016,2 OR MORE STY W/BSMT,BEAUMONT-WILSHIRE,4324,alameda,8,0,Composition,Metal,Garage - Attached,Forced air,Central,Craftsman,Built in 2015 with no expense spared. Gourmet kitchen with Jennair appliances and built-in refrigerator. Rejuvenation fixtures throughout. Crystal door knobs. Extensive built-ins and millwork. Open floorplan with outdoor living area with fireplace off kitchen and family room. Double hung wood clad windows. 9 ft ceilings on main and upper; 8 ft ceilings in basement. ,1,26
